employee_id,department,age,tenure_years,monthly_salary,commute_km,overtime,job_satisfaction,work_life_balance,last_promotion_years,performance_rating,training_hours_last_year,attrition
E1000,Engineering,32,5.6,53500.0,4.0,No,2,5,0.1,5,16,No
E1001,HR,27,0.9,60700.0,1.0,No,1,5,1.0,4,25,No
E1002,Marketing,49,0.1,70800.0,25.1,Yes,3,3,1.9,4,19,No
E1003,Customer Support,31,4.0,48200.0,15.7,Yes,4,3,6.0,2,10,No
E1004,Sales,53,0.3,29900.0,4.3,No,5,4,4.7,3,12,No
E1005,Sales,26,1.1,53100.0,11.0,No,2,4,0.3,4,21,No
E1006,Sales,35,0.1,74100.0,2.7,No,1,4,0.2,3,16,No
E1007,Operations,52,3.4,56200.0,26.5,Yes,1,4,2.2,3,16,No
E1008,Customer Support,31,0.5,44800.0,1.5,No,4,2,1.9,4,19,No
E1009,Marketing,43,3.2,70900.0,1.0,No,1,2,0.8,3,18,Yes
E1010,Sales,46,14.4,69400.0,8.4,Yes,1,4,5.7,4,17,No
E1011,HR,54,0.2,61800.0,10.5,Yes,4,4,6.6,4,15,No
E1012,Operations,54,0.2,43900.0,10.4,No,5,1,1.3,3,16,No
E1013,Sales,49,1.2,49800.0,1.0,No,3,2,5.5,4,16,No
E1014,Sales,24,6.0,31000.0,4.5,No,3,1,1.2,2,10,No
E1015,Sales,37,0.7,53700.0,8.3,No,2,1,3.3,4,24,Yes
E1016,Engineering,55,1.3,86200.0,2.9,No,5,5,1.6,3,16,No
E1017,Customer Support,33,0.2,44100.0,24.7,Yes,2,3,0.3,2,20,No
E1018,Engineering,59,4.3,77100.0,1.1,No,3,2,6.6,4,22,No
E1019,Engineering,35,1.6,89600.0,8.0,No,4,4,1.5,3,19,No
E1020,Customer Support,49,4.3,51500.0,14.1,Yes,1,4,3.3,5,20,Yes
E1021,Sales,49,7.0,65200.0,3.6,No,3,3,1.1,3,16,No
E1022,Engineering,31,0.8,43200.0,11.7,Yes,5,2,0.0,3,7,No
E1023,Engineering,52,4.9,62800.0,21.2,Yes,3,4,0.3,3,15,No
E1024,Engineering,22,0.2,101100.0,2.5,No,5,4,1.7,3,18,No
E1025,Operations,34,6.9,50900.0,29.9,No,5,5,2.9,3,13,No
E1026,Sales,40,3.2,87700.0,9.7,No,5,1,1.0,4,18,No
E1027,Customer Support,42,6.2,37600.0,4.3,Yes,2,4,3.0,4,27,No
E1028,Customer Support,31,0.1,49700.0,6.8,No,4,2,3.0,4,16,Yes
E1029,Sales,47,0.6,51800.0,4.5,No,3,3,3.0,5,15,No
E1030,Customer Support,23,1.5,54300.0,15.5,No,4,5,1.7,3,15,No
E1031,Sales,37,1.4,71800.0,19.1,No,1,2,6.2,4,17,No
E1032,Sales,48,0.8,67200.0,21.5,No,3,5,1.7,3,24,No
E1033,HR,49,1.4,65000.0,51.0,Yes,4,1,1.5,4,12,No
E1034,HR,41,0.4,50400.0,18.8,No,4,4,0.6,3,12,No
E1035,Operations,36,1.6,46900.0,11.0,Yes,1,2,0.9,5,13,Yes
E1036,Engineering,57,4.9,35800.0,5.0,Yes,5,3,0.1,4,16,No
E1037,Sales,40,2.0,67800.0,9.4,No,3,1,2.5,5,23,No
E1038,Marketing,26,0.1,54700.0,1.0,No,3,1,0.7,4,20,No
E1039,Engineering,39,1.6,67500.0,16.4,Yes,1,5,0.9,5,14,No
E1040,Sales,25,0.1,54700.0,7.1,No,5,1,3.7,4,15,No
E1041,Customer Support,23,10.2,46200.0,1.0,Yes,3,2,1.0,3,18,No
E1042,Sales,21,0.4,54100.0,1.0,No,3,5,0.7,3,19,No
E1043,Operations,58,3.7,42400.0,5.9,No,3,1,0.5,3,14,No
